,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
0,1,Kareem Abdul-Jabbar,32,LAL,147.0,147.0,221,0.665,82,38.3,24.8,10.8,4.5,1.0,3.4,0.604,0.0,0.765,14.8,0.227,1980
1,2,Julius Erving,29,PHI,31.5,31.5,221,0.143,78,36.1,26.9,7.4,4.6,2.2,1.8,0.519,0.2,0.787,12.5,0.213,1980
2,3,George Gervin,27,SAS,19.0,19.0,221,0.086,78,37.6,33.1,5.2,2.6,1.4,1.0,0.528,0.314,0.852,10.6,0.173,1980
3,4,Larry Bird,23,BOS,15.0,15.0,221,0.068,82,36.0,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,11.2,0.182,1980
4,5T,Tiny Archibald,31,BOS,2.0,2.0,221,0.009,80,35.8,14.1,2.5,8.4,1.3,0.1,0.482,0.222,0.83,8.9,0.148,1980
5,5T,Dennis Johnson,25,SEA,2.0,2.0,221,0.009,81,36.3,19.0,5.1,4.1,1.8,1.0,0.422,0.207,0.78,7.4,0.12,1980
6,5T,Dan Roundfield,26,ATL,2.0,2.0,221,0.009,81,32.0,16.5,10.3,2.3,1.2,1.7,0.499,0.0,0.71,9.1,0.169,1980
7,8,Gus Williams,26,SEA,1.5,1.5,221,0.007,82,36.2,22.1,3.4,4.8,2.4,0.5,0.482,0.194,0.788,11.6,0.187,1980
8,9,Moses Malone,24,HOU,1.0,1.0,221,0.005,82,38.3,25.8,14.5,1.8,1.0,1.3,0.502,0.0,0.719,11.9,0.183,1980
0,1,Julius Erving,30,PHI,28.0,454.0,690,0.658,82,35.0,24.6,8.0,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231,1981
1,2,Larry Bird,24,BOS,20.0,423.0,690,0.613,82,39.5,21.2,10.9,5.5,2.0,0.8,0.478,0.27,0.863,10.8,0.16,1981
2,3,Kareem Abdul-Jabbar,33,LAL,8.0,286.0,690,0.414,80,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0.0,0.766,14.3,0.23,1981
3,4,Moses Malone,25,HOU,8.0,180.0,690,0.261,80,40.6,27.8,14.8,1.8,1.0,1.9,0.522,0.333,0.757,13.7,0.202,1981
4,5,George Gervin,28,SAS,1.0,83.0,690,0.12,82,33.7,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,0.182,1981
5,6,Marques Johnson,24,MIL,1.0,73.0,690,0.106,76,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0.0,0.706,11.2,0.211,1981
6,7,Robert Parish,27,BOS,0.0,53.0,690,0.077,82,28.0,18.9,9.5,1.8,1.0,2.6,0.545,0.0,0.71,10.9,0.228,1981
7,8,Dennis Johnson,26,PHO,0.0,50.0,690,0.072,79,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,0.154,1981
8,9,Tiny Archibald,32,BOS,0.0,32.0,690,0.046,80,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0.0,0.816,6.9,0.118,1981
9,10,Jamaal Wilkes,27,LAL,0.0,19.0,690,0.028,81,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,0.135,1981
10,11,Magic Johnson,21,LAL,0.0,18.0,690,0.026,37,37.1,21.6,8.6,8.6,3.4,0.7,0.532,0.176,0.76,6.4,0.225,1981
11,12T,Adrian Dantley,25,UTA,1.0,15.0,690,0.022,80,42.7,30.7,6.4,4.0,1.4,0.2,0.559,0.286,0.806,13.6,0.191,1981
12,12T,Phil Ford,24,KCK,1.0,15.0,690,0.022,66,34.7,17.5,1.9,8.8,1.5,0.1,0.478,0.306,0.831,5.2,0.11,1981
13,14,Bernard King,24,GSW,0.0,12.0,690,0.017,81,36.0,21.9,6.8,3.5,0.9,0.4,0.588,0.333,0.703,9.1,0.15,1981
14,15T,Kelvin Ransey,22,POR,1.0,11.0,690,0.016,80,30.4,15.2,2.4,6.9,1.1,0.1,0.452,0.097,0.749,2.8,0.056,1981
15,15T,Jack Sikma,25,SEA,0.0,11.0,690,0.016,82,35.6,18.7,10.4,3.0,1.0,1.1,0.454,0.0,0.823,8.0,0.132,1981
16,17T,Otis Birdsong,25,KCK,0.0,7.0,690,0.01,71,36.5,24.6,3.6,3.3,1.3,0.3,0.544,0.286,0.697,8.2,0.152,1981
17,17T,Micheal Ray Richardson,25,NYK,0.0,7.0,690,0.01,79,40.2,16.4,6.9,7.9,2.9,0.4,0.469,0.225,0.663,6.9,0.104,1981
18,19T,Truck Robinson,29,PHO,0.0,6.0,690,0.009,82,37.7,18.8,9.6,2.5,0.8,0.5,0.505,,0.629,7.6,0.119,1981
19,19T,Reggie Theus,23,CHI,0.0,6.0,690,0.009,82,34.4,18.9,3.5,5.2,1.5,0.2,0.495,0.2,0.809,9.2,0.156,1981
20,21,Norm Nixon,25,LAL,0.0,5.0,690,0.007,79,37.5,17.1,2.9,8.8,1.8,0.1,0.476,0.167,0.778,5.5,0.089,1981
21,22T,Artis Gilmore,31,CHI,0.0,4.0,690,0.006,82,34.5,17.9,10.1,2.1,0.6,2.4,0.67,,0.705,12.3,0.208,1981
22,22T,Bob Lanier,32,MIL,0.0,4.0,690,0.006,67,26.2,14.3,6.2,2.7,1.1,1.2,0.525,1.0,0.751,6.8,0.185,1981
23,24T,Michael Cooper,24,LAL,0.0,3.0,690,0.004,81,32.4,9.4,4.1,4.1,1.6,1.0,0.491,0.211,0.785,5.0,0.092,1981
24,24T,Walter Davis,26,PHO,0.0,3.0,690,0.004,78,28.0,18.0,2.6,3.9,1.2,0.2,0.539,0.412,0.836,7.1,0.157,1981
25,24T,George Johnson,32,SAS,0.0,3.0,690,0.004,82,23.6,5.0,7.3,1.1,0.6,3.4,0.473,,0.734,4.5,0.112,1981
26,24T,Bobby Jones,29,PHI,0.0,3.0,690,0.004,81,25.3,13.5,5.4,2.8,1.2,0.9,0.539,0.0,0.813,9.2,0.217,1981
27,24T,Mike Mitchell,25,CLE,0.0,3.0,690,0.004,82,39.0,24.5,6.1,1.7,0.8,0.6,0.476,0.444,0.784,6.0,0.091,1981
28,24T,James Silas,31,SAS,0.0,3.0,690,0.004,75,27.4,17.7,3.1,3.8,0.7,0.2,0.477,0.0,0.85,7.0,0.164,1981
29,30T,Quinn Buckner,26,MIL,0.0,1.0,690,0.001,82,29.1,13.3,3.6,4.7,2.4,0.0,0.493,0.167,0.734,5.4,0.108,1981
30,30T,Caldwell Jones,30,PHI,0.0,1.0,690,0.001,81,32.6,7.2,10.0,1.5,0.7,1.7,0.449,,0.767,5.5,0.1,1981
0,1,Moses Malone,26,HOU,40.0,507.0,690,0.735,81,42.0,31.1,14.7,1.8,0.9,1.5,0.519,0.0,0.762,15.4,0.218,1982
1,2,Larry Bird,25,BOS,20.0,406.0,690,0.588,77,38.0,22.9,10.9,5.8,1.9,0.9,0.503,0.212,0.863,12.5,0.205,1982
2,3,Julius Erving,31,PHI,1.0,203.0,690,0.294,81,34.4,24.4,6.9,3.9,2.0,1.7,0.546,0.273,0.763,13.3,0.229,1982
3,4,Robert Parish,28,BOS,4.0,131.0,690,0.19,80,31.7,19.9,10.8,1.8,0.9,2.4,0.542,,0.71,10.0,0.19,1982
4,5,Gus Williams,28,SEA,2.0,115.0,690,0.167,80,36.0,23.4,3.1,6.9,2.2,0.5,0.486,0.225,0.734,10.2,0.171,1982
5,6,George Gervin,29,SAS,1.0,110.0,690,0.159,79,35.7,32.3,5.0,2.4,1.0,0.6,0.5,0.278,0.864,10.7,0.182,1982
6,7,Sidney Moncrief,24,MIL,1.0,101.0,690,0.146,80,37.3,19.8,6.7,4.8,1.7,0.3,0.523,0.071,0.817,13.4,0.216,1982
7,8,Magic Johnson,22,LAL,0.0,67.0,690,0.097,78,38.3,18.6,9.6,9.5,2.7,0.4,0.537,0.207,0.76,12.9,0.207,1982
8,9,Jack Sikma,26,SEA,0.0,33.0,690,0.048,82,37.2,19.6,12.7,3.4,1.2,1.3,0.479,0.154,0.855,12.6,0.199,1982
9,10,Kareem Abdul-Jabbar,34,LAL,0.0,31.0,690,0.045,76,35.2,23.9,8.7,3.0,0.8,2.7,0.579,0.0,0.706,10.7,0.192,1982
10,11T,Dan Roundfield,28,ATL,0.0,14.0,690,0.02,61,36.3,18.6,11.8,2.7,1.0,1.5,0.466,0.2,0.76,6.5,0.141,1982
11,11T,Kelly Tripucka,22,DET,0.0,14.0,690,0.02,82,37.5,21.6,5.4,3.3,1.1,0.2,0.496,0.227,0.797,7.5,0.117,1982
12,13,Alex English,28,DEN,0.0,12.0,690,0.017,82,36.8,25.4,6.8,5.3,1.1,1.5,0.551,0.0,0.84,9.5,0.152,1982
13,14,Bernard King,25,GSW,0.0,10.0,690,0.014,79,36.2,23.2,5.9,3.6,1.0,0.3,0.566,0.2,0.705,8.7,0.147,1982
